
t=  0.000  y(0)=0.00000e+00  y(1)=1.00000e+00
t=  0.100  y(0)=1.98669e-01  y(1)=9.80064e-01
t=  0.200  y(0)=1.59318e-01  y(1)=9.87226e-01
t=  0.300  y(0)=-1.35170e-07  y(1)=1.00000e+00
t=  0.400  y(0)=-1.59319e-01  y(1)=9.87226e-01
t=  0.500  y(0)=-1.98670e-01  y(1)=9.80064e-01
t=  0.600  y(0)=-4.12307e-07  y(1)=1.00000e+00
t=  0.700  y(0)=5.31188e-01  y(1)=8.47256e-01
t=  0.800  y(0)=9.99577e-01  y(1)=-2.92037e-02
t=  0.900  y(0)=-9.82556e-02  y(1)=-9.95165e-01
t=  1.000  y(0)=-6.31263e-01  y(1)=7.75575e-01

