
x=0.50    Si(x)= 0.4931074
x=2.50    Si(x)= 1.7785202
x=4.50    Si(x)= 1.6541404
x=6.50    Si(x)= 1.4217943
x=8.50    Si(x)= 1.6295971
x=10.50    Si(x)= 1.6229407
x=12.50    Si(x)= 1.4923370
x=14.50    Si(x)= 1.5907229
x=16.50    Si(x)= 1.6156262
x=18.50    Si(x)= 1.5212824

