
x=0.05    Ei(x)=-2.4678985
x=0.25    Ei(x)=-1.0442826
x=0.45    Ei(x)=-0.6253313
x=0.65    Ei(x)=-0.4115170
x=0.85    Ei(x)=-0.2840193
x=1.05    Ei(x)=-0.2018728
x=1.25    Ei(x)=-0.1464134
x=1.45    Ei(x)=-0.1077774
x=1.65    Ei(x)=-0.0802476
x=1.85    Ei(x)=-0.0602950

